"bat_id","team_id","bat_result","bat_date"
"304","27","2","2024-03-01 12:53:28"
"305","14","0","2024-03-01 12:54:11"
"306","23","4","2024-03-01 13:10:58"
"307","56","0","2024-03-01 15:19:11"
"308","57","2","2024-03-01 15:31:02"
"309","42","3","2024-03-01 15:31:54"
"310","50","1","2024-03-01 16:30:23"
"311","50","0","2024-03-01 16:31:10"
"312","37","2","2024-03-01 16:33:56"
"313","36","4","2024-03-01 20:52:28"
"314","36","2","2024-03-01 20:52:38"
"315","48","3","2024-03-01 21:20:07"
"316","62","3","2024-03-02 06:31:02"
"317","57","0","2024-03-02 19:33:52"
"318","36","2","2024-03-03 21:07:43"
"319","36","3","2024-03-03 21:07:55"
"320","36","2","2024-03-03 21:08:04"
"321","62","1","2024-03-04 07:40:41"
"322","35","1","2024-03-04 07:46:20"
"323","35","0","2024-03-04 07:46:34"
"324","53","1","2024-03-04 08:09:40"
"325","42","4","2024-03-04 08:25:53"
"326","42","2","2024-03-04 08:26:10"
"327","42","2","2024-03-04 08:26:19"
"328","51","3","2024-03-04 08:27:13"
"329","51","1","2024-03-04 08:27:22"
"330","51","0","2024-03-04 08:27:31"
"331","51","2","2024-03-04 08:27:41"
"332","39","4","2024-03-04 08:58:52"
"333","39","1","2024-03-04 08:59:09"
"334","39","0","2024-03-04 08:59:15"
"335","39","3","2024-03-04 08:59:21"
"336","39","4","2024-03-04 08:59:28"
"337","39","4","2024-03-04 08:59:35"
"338","39","1","2024-03-04 08:59:43"
"339","39","4","2024-03-04 08:59:49"
"340","47","3","2024-03-04 09:05:21"
"341","38","4","2024-03-04 10:23:47"
"342","38","2","2024-03-04 10:23:57"
"343","38","2","2024-03-04 10:24:07"
"344","38","3","2024-03-04 10:24:21"
"345","38","3","2024-03-04 10:24:27"
"346","38","3","2024-03-04 10:24:39"
"347","38","0","2024-03-04 10:24:48"
"348","38","4","2024-03-04 10:24:54"
"349","38","0","2024-03-04 10:25:00"
"350","36","3","2024-03-04 11:30:37"
"351","37","1","2024-03-04 12:22:37"
"352","37","3","2024-03-04 12:23:32"
"353","48","3","2024-03-04 14:10:40"
"354","41","4","2024-03-04 14:49:58"
"355","41","4","2024-03-04 14:50:42"
"356","41","2","2024-03-04 14:50:59"
"357","41","0","2024-03-04 14:51:15"
"358","41","4","2024-03-04 14:51:28"
"359","41","0","2024-03-04 14:51:43"
"360","41","0","2024-03-04 14:52:14"
"361","56","3","2024-03-04 15:35:05"
"362","35","1","2024-03-04 15:35:18"
"363","55","2","2024-03-04 16:54:41"
"364","55","4","2024-03-04 16:54:56"
"365","55","3","2024-03-04 16:55:28"
"366","35","3","2024-03-04 19:26:42"
"367","35","4","2024-03-04 19:26:53"
"368","36","4","2024-03-04 21:08:50"
"369","40","0","2024-03-05 08:27:05"
"370","40","3","2024-03-05 08:27:25"
"371","40","4","2024-03-05 08:27:40"
"372","40","4","2024-03-05 08:27:48"
"373","51","2","2024-03-05 08:31:57"
"374","51","0","2024-03-05 08:32:09"
"375","40","1","2024-03-05 08:32:10"
"376","40","1","2024-03-05 08:32:15"
"377","51","2","2024-03-05 08:32:16"
"378","40","4","2024-03-05 08:32:20"
"379","51","0","2024-03-05 08:32:23"
"380","40","1","2024-03-05 08:32:26"
"381","51","3","2024-03-05 08:32:29"
"382","40","3","2024-03-05 08:32:31"
"383","51","2","2024-03-05 08:32:36"
"384","40","3","2024-03-05 08:32:36"
"385","40","0","2024-03-05 08:32:40"
"386","51","1","2024-03-05 08:32:44"
"387","40","1","2024-03-05 08:32:48"
"388","40","2","2024-03-05 08:32:53"
"389","40","1","2024-03-05 08:32:58"
"390","40","2","2024-03-05 08:33:03"
"391","40","1","2024-03-05 08:33:07"
"392","39","4","2024-03-05 08:55:24"
"393","39","1","2024-03-05 08:55:30"
"394","39","2","2024-03-05 08:55:34"
"395","35","1","2024-03-05 08:55:39"
"396","56","0","2024-03-05 09:02:00"
"397","37","2","2024-03-05 09:15:41"
"398","57","3","2024-03-05 09:19:36"
"399","53","3","2024-03-05 10:11:50"
"400","59","1","2024-03-05 10:14:28"
"401","50","4","2024-03-05 10:59:37"
"402","43","0","2024-03-05 10:59:44"
"403","50","1","2024-03-05 10:59:53"
"404","43","2","2024-03-05 11:00:03"
"405","43","2","2024-03-05 11:00:15"
"406","43","0","2024-03-05 11:00:27"
"407","54","1","2024-03-05 11:04:18"
"408","39","1","2024-03-05 11:42:56"
"409","52","2","2024-03-05 12:22:16"
"410","44","4","2024-03-05 12:45:42"
"411","44","2","2024-03-05 12:45:52"
"412","44","3","2024-03-05 12:46:02"
"413","44","0","2024-03-05 12:46:10"
"414","44","0","2024-03-05 12:46:17"
"415","44","2","2024-03-05 12:46:22"
"416","44","0","2024-03-05 12:46:28"
"417","42","3","2024-03-05 15:11:02"
"418","35","2","2024-03-05 15:30:01"
"419","46","0","2024-03-05 15:57:29"
"420","46","3","2024-03-05 15:57:39"
"421","46","2","2024-03-05 15:59:44"
"422","46","1","2024-03-05 16:00:28"
"423","46","0","2024-03-05 16:00:36"
"424","56","2","2024-03-05 16:20:11"
"425","48","1","2024-03-05 18:04:31"
"426","36","3","2024-03-05 20:29:23"
"427","56","4","2024-03-05 21:09:56"
"428","35","4","2024-03-06 07:42:30"
"429","49","0","2024-03-06 08:31:27"
"430","44","3","2024-03-06 08:36:39"
"431","44","1","2024-03-06 08:36:48"
"432","39","2","2024-03-06 09:22:36"
"433","39","3","2024-03-06 09:22:44"
"434","39","0","2024-03-06 09:22:49"
"435","52","0","2024-03-06 10:21:45"
"436","51","1","2024-03-06 10:38:16"
"437","51","1","2024-03-06 10:38:33"
"438","51","0","2024-03-06 10:38:41"
"439","46","1","2024-03-06 10:50:33"
"440","46","4","2024-03-06 10:50:41"
"441","56","0","2024-03-06 12:34:49"
"442","35","4","2024-03-06 13:07:37"
"443","56","1","2024-03-06 13:08:04"
"444","42","4","2024-03-06 14:45:53"
"445","49","0","2024-03-06 14:59:51"
"446","35","3","2024-03-06 17:30:14"
"447","44","1","2024-03-06 17:53:10"
"448","59","0","2024-03-06 20:31:39"
"449","35","3","2024-03-07 06:27:43"
"450","39","3","2024-03-07 07:34:46"
"451","39","1","2024-03-07 07:34:57"
"452","39","2","2024-03-07 07:35:11"
"453","35","3","2024-03-07 07:39:05"
"454","44","3","2024-03-07 07:44:17"
"455","56","4","2024-03-07 09:06:12"
"456","40","3","2024-03-07 10:22:45"
"457","40","0","2024-03-07 10:22:55"
"458","40","4","2024-03-07 10:23:05"
"459","40","1","2024-03-07 10:37:09"
"460","40","4","2024-03-07 10:37:17"
"461","36","4","2024-03-07 10:38:18"
"462","46","2","2024-03-07 10:53:32"
"463","53","3","2024-03-07 11:10:18"
"464","53","1","2024-03-07 11:10:25"
"465","42","2","2024-03-07 11:11:59"
"466","62","1","2024-03-07 11:13:51"
"467","37","3","2024-03-07 11:18:35"
"468","37","1","2024-03-07 11:18:44"
"469","50","2","2024-03-07 11:23:26"
"470","50","3","2024-03-07 11:23:35"
"471","52","0","2024-03-07 11:56:47"
"472","52","2","2024-03-07 11:57:00"
"473","41","0","2024-03-07 12:19:23"
"474","41","2","2024-03-07 12:19:36"
"475","41","3","2024-03-07 12:19:52"
"476","39","0","2024-03-07 12:48:11"
"477","59","0","2024-03-07 12:48:12"
"478","57","0","2024-03-07 14:00:35"
"479","57","2","2024-03-07 14:00:43"
"480","57","0","2024-03-07 14:00:54"
"481","39","2","2024-03-07 14:59:13"
"482","48","2","2024-03-07 17:08:14"
"483","56","4","2024-03-07 17:29:24"
"484","56","3","2024-03-07 17:30:03"
"485","35","2","2024-03-07 17:40:13"
"486","33","1","2024-03-07 21:51:08"
"487","33","2","2024-03-07 21:52:47"
"488","33","2","2024-03-07 21:53:03"
"489","33","0","2024-03-07 21:53:17"
"490","33","2","2024-03-07 21:53:46"
"491","33","2","2024-03-07 21:54:07"
"492","33","3","2024-03-07 21:54:42"
"493","33","4","2024-03-07 21:55:18"
"494","33","1","2024-03-07 21:55:36"
"495","33","0","2024-03-07 21:56:07"
"496","33","0","2024-03-07 21:56:32"
"497","33","0","2024-03-07 21:56:59"
"498","33","3","2024-03-07 21:57:24"
"499","33","1","2024-03-07 21:57:48"
"500","33","4","2024-03-07 21:58:11"
"501","33","1","2024-03-07 21:58:33"
"502","33","1","2024-03-07 21:59:00"
"503","33","0","2024-03-07 21:59:20"
"504","33","0","2024-03-07 21:59:39"
"505","33","0","2024-03-07 22:00:01"
"506","33","3","2024-03-07 22:00:18"
"507","33","0","2024-03-07 22:00:39"
"508","33","2","2024-03-07 22:00:59"
"509","33","2","2024-03-07 22:01:21"
"510","33","2","2024-03-07 22:01:41"
"511","33","4","2024-03-07 22:02:03"
"512","33","0","2024-03-07 22:04:55"
"513","33","4","2024-03-07 22:05:13"
"514","33","2","2024-03-07 22:05:25"
"515","33","3","2024-03-07 22:05:39"
"516","59","0","2024-03-07 22:34:48"
"517","43","3","2024-03-07 22:44:00"
"518","43","0","2024-03-07 22:44:22"
"519","43","3","2024-03-07 22:44:30"
"520","43","1","2024-03-07 22:44:38"
"521","35","1","2024-03-08 07:35:57"
"522","35","4","2024-03-08 08:44:32"
"523","39","0","2024-03-08 09:18:31"
"524","39","4","2024-03-08 09:18:36"
"525","39","1","2024-03-08 09:18:42"
"526","56","2","2024-03-08 09:25:00"
"527","59","1","2024-03-08 09:30:04"
"528","51","1","2024-03-08 09:45:54"
"529","51","1","2024-03-08 09:45:59"
"530","35","2","2024-03-08 11:16:03"
"531","56","2","2024-03-08 11:17:28"
"532","36","0","2024-03-08 11:37:34"
"533","36","2","2024-03-08 11:37:41"
"534","36","3","2024-03-08 13:32:03"
"535","37","2","2024-03-08 13:54:42"
"536","35","4","2024-03-08 13:59:13"
"537","42","3","2024-03-08 14:47:36"
"538","35","0","2024-03-08 15:01:09"
"539","56","1","2024-03-08 15:32:51"
"540","36","3","2024-03-08 16:59:56"
"541","36","1","2024-03-08 17:00:02"
"542","36","2","2024-03-08 17:00:08"
"543","44","0","2024-03-08 17:31:53"
"544","44","1","2024-03-08 17:31:59"
"545","39","0","2024-03-08 18:13:05"
"546","48","3","2024-03-08 18:41:49"
"547","52","0","2024-03-08 21:30:28"
"548","52","4","2024-03-08 21:30:47"
"549","46","4","2024-03-08 21:49:10"
"550","46","2","2024-03-08 21:49:21"
"551","46","1","2024-03-08 21:49:30"
"552","46","0","2024-03-08 21:49:42"
